id,router,input,route_time,expert,result_or_error
0,basic,query_0,0.000001,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
1,basic,query_1,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
2,basic,query_2,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
3,basic,query_3,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
4,basic,query_4,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
5,basic,query_5,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
6,basic,query_6,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
7,basic,query_7,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
8,basic,query_8,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
9,basic,query_9,0.000000,Payments,ERROR: cannot access local variable 'req' where it is not associated with a value
